분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
뮤지컬/오페라,종로구,2024 뮤지컬 노트르담 드 파리 - 한국어버전,2024-01-24~2024-03-24,세종대극장,세종문화회관,8세이상 관람 가능,"VIP석 170,000원 / R석 140,000원 / S석 110,000원 / A석 90,000원 / B석 70,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34777&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d28637ef36ea4b39b08d07ca28c11d8c&thumb=Y,2023-11-22,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144322&menuNo=200008
콘서트,마포구,마포아트센터 M 레트로 시리즈 2024 신년맞이 어떤가요 #7,2024-01-18~2024-01-18,마포아트센터 아트홀 맥 ,마포문화재단, 취학아동 이상 (2017년 포함 이전 출생자)," R석 66,000원/ S석 55,000원/ A석 44,000원","조성모, 뱅크(정시로)",,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2285&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43bd8ae3612e4cb2bb3a7edf9186efbf&thumb=Y,2023-10-30,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143909&menuNo=200008
축제-시민화합,중구,서울라이트 DDP: DDP 새해맞이 카운트다운,2023-12-31~2014-01-01,,동대문디자인플라자,시민 누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=608&boardno=16&bbstopno=608&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=25c5d53884b2442ca9343dfea30f9e78&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144256&menuNo=200010
콘서트,강동구,"[강동문화재단] 크리스마스 콘서트, 선물",2023-12-24~2023-12-24,대극장 한강,강동문화재단,14세 이상 관람,"R석 88,000원 S석 77,000원 A석 66,000원", 노리플라이X정준일,,,https://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=2013&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c0384cf9f66143ec8011d9ca3c9bd308&thumb=Y,2023-11-04,기관,00:00.0,00:00.0,기타,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144027&menuNo=200008
무용,노원구,동화 뮤지컬 발레 [빨간모자],2023-12-23~2023-12-23,노원어린이극장,노원문화재단,36개월 이상,"전석 20,000원",,,,https://www.nowonarts.kr/html/pe/performancedetail.php?param_url=https%3A%2F%2Fwww.nowonarts.kr%2Fhtml%2Fpe%2Fperformanceinfo.php%3F%26cate%3D%26skin%3D%26search_state%3D1%26search_syear%3D%26search_smonth%3D%26search_eyear%3D%26search_emonth%3D%26search_order%3D%26search_startPage%3D&idx=356,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c850afe422bc41b0a71f38330b21e88d&thumb=Y,2023-11-23,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.65445005,127.0636923,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144339&menuNo=200008
콘서트,구로구,[구로문화재단] 주현미 콘서트,2023-12-23~2023-12-23,구로아트밸리 예술극장,구로문화재단,8세이상 관람가,"R석 90,000원, S석 60,000원",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3697&page=2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c3282ef9b0074786a6610329fc416d8e&thumb=Y,2023-11-02,기관,00:00.0,00:00.0,기타,37.49655847,126.8889639,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143978&menuNo=200008
콘서트,강북구,딕펑스×두번째달_Spice of life,2023-12-23~2023-12-23,꿈의숲 퍼포먼스홀,세종문화회관,만 8세 이상,"전석 45,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34449&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d5e5494491b1481081180ac991c410db&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143406&menuNo=200008
축제-기타,광진구,2023 한강페스티벌 겨울 [Hangang River Festival-Winter],2023-12-22~2023-12-31,한강공원 일대,한강사업본부,누구나,무료(일부 프로그램 유료),,,,https://festival.seoul.go.kr/hangang,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=989de15a1c564c63bd4f65efca8037b3&thumb=Y,2023-11-10,기관,00:00.0,00:00.0,기타,37.53895578,127.0416692,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144137&menuNo=200010
클래식,종로구,"177회 정기연주 [겨울, 다시 겨울]",2023-12-22~2023-12-23,세종체임버홀,세종문화회관,만7세 이상(취학아동 이상 관람 가능),"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34769&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b2c615d3428640b1b78135b052229586&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144260&menuNo=200008
축제-문화/예술,중구,서울라이트 DDP 2023 겨울,2023-12-21~2024-01-01,"어울림광장, 디자인거리 등 야외",서울디자인재단,누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=605&boardno=16&bbstopno=605&act=view&subno=2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f6a852b03a2a4741a5425e8cd037ca20&thumb=Y,2023-11-10,기관,00:00.0,00:00.0,가족 문화행사,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144153&menuNo=200010
축제-문화/예술,중구,DDP 겨울축제,2023-12-21~2023-12-31,DDP 일대,동대문디자인플라자,누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=607&boardno=16&bbstopno=607&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2664f5f0b6074fedb8466ec5867f9f8a&thumb=Y,2023-11-13,기관,00:00.0,00:00.0,기타,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144183&menuNo=200010
기타,중구,제10회 서울퓨처포럼 : All in AI,2023-12-21~2023-12-21,"DDP 아트홀 2관, 컨퍼런스룸",동대문디자인플라자,홈페이지 참고," 참가비 770,000원 (부분무료관람)",,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=609&boardno=16&bbstopno=609&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5a6997095a674287b586d4f0e21af01a&thumb=Y,2023-11-16,기관,00:00.0,00:00.0,기타,37.56681313,127.0096257,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144250&menuNo=200013
콘서트,마포구,2023 마포아트센터 송년콘서트 [나윤선 ANOTHER CHRISTMAS],2023-12-20~2023-12-20,마포아트센터 아트홀 맥트 ,마포문화재단,8세 이상,"R석(1층) 55,000원/ S석(2층) 35,000원"," 나윤선, 막심 산체스, 토니 팰만",,,http://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2280&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d32080e118249d7b74dbbeb7109611d&thumb=Y,2023-10-19,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143792&menuNo=200008
뮤지컬/오페라,서초구,서초문화원 [2023년 송년음악회],2023-12-20~2023-12-20,서초문화예술회관 1층 아트홀,서초문화원,누구나,,,대중에게 익숙한 선율의 '프랑스 오페라 갈라 콘서트' 부터 다가오는 크리스마스를 만끽 할 수 있는 '크리스마스 캐롤' 까지! 연말을 맞이한 서초문화원의 음악선물,,http://socc.or.kr/bbs/board.php?bo_table=sub05_01&wr_id=307,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ac80ade12ee445ca921423eab0a08939&thumb=Y,2023-11-21,기관,00:00.0,00:00.0,가족 문화행사,37.48170939,127.0358612,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144309&menuNo=200008
클래식,송파구,강남심포니오케스트라 제101회 정기연주회,2023-12-19~2023-12-19,롯데콘서트홀,강남문화재단,취학아동 이상 관람가,"R석 3만원, S석 2만원, A석 1만원",,,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/70/view.do?mid=gfac_perform0101,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3a219fb8e2214499bca7f10f722b644e&thumb=Y,2023-11-23,기관,00:00.0,00:00.0,기타,37.51375196,127.1044469,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144330&menuNo=200008
축제-문화/예술,중구,"제1회 서울공예문화축제 ; 공예, 꽃을 피우다",2023-12-17~2023-12-18,한국의 집,기타,일반시민,,,,,https://sccfc.co.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bfeb8bde66124a8facd79b8135f4d6c4&thumb=Y,2023-11-15,시민,00:00.0,00:00.0,기타,37.5602983,126.9947541,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144231&menuNo=200010
콘서트,관악구,2023 관악겨울예술축제 송년패키지,2023-12-16~2023-12-28,관악아트홀 공연장,관악문화재단,만 8세 이상,R석 5만원 S석 3만원,,,,https://gfac.or.kr/site/main/performance/93/view,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6f70cc0b9f5d480793c45b40cb713b18&thumb=Y,2023-11-23,기관,00:00.0,00:00.0,기타,37.46755336,126.9449624,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144333&menuNo=200008
